Date,Actual_Price,Predicted_Price
2024-04-07,70459.0,67618.125
2024-04-08,69228.0,68096.31
2024-04-09,69455.0,68002.055
2024-04-10,69701.0,68177.664
2024-04-11,69469.0,68438.53
2024-04-12,67402.0,68436.49
2024-04-13,67523.0,67946.49
2024-04-14,66568.0,67459.57
2024-04-15,65485.0,66933.695
2024-04-16,66120.0,66551.875
2024-04-17,66500.0,66411.336
2024-04-18,66642.0,66337.5
2024-04-19,64398.0,66046.375
2024-04-20,64856.99999999999,65687.69
2024-04-21,64988.00000000001,65135.1
2024-04-22,64203.0,64468.55
2024-04-23,64273.0,64070.434
2024-04-24,64110.0,63548.457
2024-04-25,59269.0,63303.074
2024-04-26,61984.0,61734.582
2024-04-27,60955.0,60164.613
2024-04-28,61368.0,59727.293
2024-04-29,59969.0,59275.76
2024-04-30,60959.0,59093.242
2024-05-01,61940.0,58739.695
2024-05-02,63180.0,59262.77
2024-05-03,61830.0,59994.496
2024-05-04,59630.0,60470.477
2024-05-05,58246.0,60404.68
2024-05-06,56457.0,59711.816
2024-05-07,57868.0,58093.633
2024-05-08,57146.0,57191.32
2024-05-09,56487.0,56512.402
2024-05-10,57859.0,55586.598
2024-05-11,57385.0,55334.86
2024-05-12,57374.0,55090.074
2024-05-13,57607.0,54929.465
2024-05-14,58653.0,54829.3
2024-05-15,59942.0,54943.562
2024-05-16,63418.0,55620.676
2024-05-17,65202.0,57093.7
2024-05-18,64574.0,59263.758
2024-05-19,63504.0,61127.125
2024-05-20,67226.0,62142.902
2024-05-21,67261.0,63055.934
2024-05-22,67460.0,64641.06
2024-05-23,68233.0,65727.23
2024-05-24,65547.0,66433.305
2024-05-25,65611.0,66425.29
2024-05-26,64661.99999999999,66314.02
2024-05-27,68013.0,65784.08
2024-05-28,68281.0,65592.78
2024-05-29,68107.0,65826.06
2024-05-30,67279.0,65825.0
2024-05-31,65871.0,65685.93
2024-06-01,65243.00000000001,65308.543
2024-06-02,63389.0,64620.188
2024-06-03,62551.0,63294.9
2024-06-04,60206.0,62330.305
2024-06-05,59240.0,60507.016
2024-06-06,53483.0,58745.24
2024-06-07,56796.0,55434.863
2024-06-08,54762.0,53796.457
2024-06-09,59462.0,52794.34
2024-06-10,60698.0,52206.062
2024-06-11,61023.0,53396.69
2024-06-12,59631.0,55133.89
2024-06-13,59051.0,56071.586
2024-06-14,60851.0,55981.434
2024-06-15,58921.0,56285.17
2024-06-16,57051.0,56227.03
2024-06-17,59695.0,55825.117
2024-06-18,59473.0,55706.934
2024-06-19,59718.0,55859.13
2024-06-20,58974.0,56205.49
2024-06-21,59473.0,56231.754
2024-06-22,61602.0,56321.38
2024-06-23,60312.0,56476.527
2024-06-24,63700.0,57027.32
2024-06-25,64243.0,57662.746
2024-06-26,64220.0,59239.19
2024-06-27,63326.0,60484.92
2024-06-28,62059.0,61230.207
2024-06-29,58898.0,61337.207
2024-06-30,59250.0,59823.58
2024-07-01,58703.0,58708.19
2024-07-02,58856.0,57935.184
2024-07-03,58497.0,57270.17
2024-07-04,58444.0,56508.984
2024-07-05,58021.0,55981.56
2024-07-06,58027.0,55497.254
2024-07-07,56023.0,55054.41
2024-07-08,53484.0,54598.98
2024-07-09,54415.0,53592.023
2024-07-10,54340.0,53053.516
2024-07-11,57103.0,52948.3
2024-07-12,57971.0,52946.73
2024-07-13,57644.0,53443.848
2024-07-14,58380.0,53829.66
2024-07-15,60545.0,54129.77
2024-07-16,60012.0,54644.07
2024-07-17,59130.0,55921.234
2024-07-18,58212.0,56823.836
2024-07-19,60316.0,56875.094
2024-07-20,61757.0,56755.91
2024-07-21,62940.0,57301.312
2024-07-22,63211.0,58078.043
2024-07-23,63364.0,59002.95
2024-07-24,63563.0,59869.977
2024-07-25,63325.0,60370.125
2024-07-26,64260.0,60579.555
2024-07-27,63147.0,61013.95
2024-07-28,65175.00000000001,61354.26
2024-07-29,65781.0,61359.71
2024-07-30,65876.0,62043.766
2024-07-31,65601.0,62747.86
2024-08-01,63302.0,63229.26
2024-08-02,60807.0,62979.445
2024-08-03,60634.0,61880.715
2024-08-04,60745.0,60676.41
2024-08-05,62081.0,59592.367
2024-08-06,62063.0,59175.33
2024-08-07,62814.0,59214.496
2024-08-08,62212.0,59395.074
2024-08-09,62133.0,59499.715
2024-08-10,60582.0,59821.0
2024-08-11,60278.0,59621.99
2024-08-12,62452.0,59049.582
2024-08-13,63194.0,58526.215
2024-08-14,62849.0,59160.023
2024-08-15,66070.0,59703.168
2024-08-16,67061.0,60228.23
2024-08-17,67622.0,61607.24
2024-08-18,67392.0,63170.07
2024-08-19,68420.0,64354.773
2024-08-20,68359.0,65388.71
2024-08-21,69011.0,66236.87
2024-08-22,67340.0,66861.01
2024-08-23,67382.0,66800.54
2024-08-24,66601.0,66732.93
2024-08-25,68155.0,66364.766
2024-08-26,66578.0,66101.28
2024-08-27,67003.0,65712.195
2024-08-28,67938.0,65732.82
2024-08-29,69918.0,65585.13
2024-08-30,72729.0,65749.37
2024-08-31,72331.0,66287.78
2024-09-01,70231.0,67284.82
2024-09-02,69490.0,67737.41
2024-09-03,69330.0,67954.195
2024-09-04,68738.0,68289.75
2024-09-05,67818.0,68466.91
2024-09-06,69386.0,68221.59
2024-09-07,75637.0,68171.3
2024-09-08,75921.0,68263.14
2024-09-09,76561.0,69410.89
2024-09-10,76722.0,70626.04
2024-09-11,80425.0,71777.26
2024-09-12,88770.0,72887.914
2024-09-13,88031.0,74082.68
2024-09-14,90521.0,75851.99
2024-09-15,87333.0,77454.37
2024-09-16,91070.0,78940.52
2024-09-17,90608.0,80251.76
2024-09-18,89861.0,82079.516
2024-09-19,90512.0,83406.52
2024-09-20,92424.0,84050.15
2024-09-21,94373.0,84945.68
2024-09-22,98451.0,85400.58
2024-09-23,99013.0,86067.54
2024-09-24,97775.0,87554.99
2024-09-25,98007.0,88669.02
2024-09-26,93035.0,88848.47
2024-09-27,91928.0,87911.984
2024-09-28,95978.0,87081.695
2024-09-29,95661.0,86485.29
2024-09-30,97512.0,86621.71
2024-10-01,96441.0,86902.805
2024-10-02,97291.0,87689.086
2024-10-03,95859.0,88180.46
2024-10-04,95926.0,88078.086
2024-10-05,98773.0,88040.35
2024-10-06,97057.0,88106.96
2024-10-07,99898.0,87038.125
2024-10-08,99929.0,87102.75
2024-10-09,101204.0,87980.22
2024-10-10,97468.0,88919.82
2024-10-11,96648.0,88543.516
2024-10-12,101201.0,88641.51
2024-10-13,100068.0,88646.1
2024-10-14,101435.0,89358.45
2024-10-15,101382.0,89954.37
2024-10-16,104427.0,90831.3
2024-10-17,106073.0,91431.36
2024-10-18,106187.0,92130.35
2024-10-19,100153.0,93127.805
2024-10-20,97375.0,92250.84
2024-10-21,97760.0,90732.27
2024-10-22,97211.0,89624.85
2024-10-23,95098.0,88978.47
2024-10-24,94750.0,88138.625
2024-10-25,98596.0,87097.69
2024-10-26,99374.0,86534.43
2024-10-27,95687.0,86699.3
2024-10-28,94168.0,86426.59
2024-10-29,95139.0,85932.84
2024-10-30,93557.0,86031.25
2024-10-31,92628.0,85803.4
2024-11-01,93381.0,84991.51
2024-11-02,94388.0,84296.78
2024-11-03,96907.0,84168.98
2024-11-04,98133.0,84366.516
2024-11-05,98209.0,84976.32
2024-11-06,98327.0,85683.23
2024-11-07,102280.0,86358.54
2024-11-08,96946.0,86979.25
2024-11-09,95065.0,86522.89
2024-11-10,92542.0,85671.37
2024-11-11,94702.0,84662.95
2024-11-12,94568.0,83530.52
2024-11-13,94497.0,83746.72
2024-11-14,94505.0,83652.58
2024-11-15,96523.0,82712.89
2024-11-16,100512.0,82941.77
2024-11-17,99975.0,83671.91
2024-11-18,104119.0,84621.06
2024-11-19,104436.0,85500.09
2024-11-20,101237.0,86930.43
2024-11-21,102141.0,87004.66
2024-11-22,106149.0,86583.64
2024-11-23,103632.0,87105.63
2024-11-24,103933.0,88169.9
2024-11-25,104855.0,88185.99
2024-11-26,104738.0,88594.6
2024-11-27,102573.0,89337.9
2024-11-28,102090.0,89360.16
2024-11-29,101292.0,88718.0
2024-11-30,103747.0,88460.445
2024-12-01,104738.0,88465.18
2024-12-02,102412.0,88569.68
2024-12-03,100638.0,88396.16
2024-12-04,97675.0,87999.875
2024-12-05,101457.0,86558.445
2024-12-06,97786.0,84428.95
2024-12-07,96614.0,84328.03
2024-12-08,96573.0,83667.0
2024-12-09,96535.0,82947.65
2024-12-10,96472.0,82175.74
2024-12-11,96477.0,82132.34
2024-12-12,97469.0,82164.75
2024-12-13,95754.0,82190.8
2024-12-14,97882.0,82137.914
2024-12-15,96627.0,82277.27
2024-12-16,97520.0,82699.34
2024-12-17,97591.0,83172.98
2024-12-18,96132.0,83981.43
2024-12-19,95772.0,84536.484
2024-12-20,95612.0,84785.75
2024-12-21,96642.0,84536.04
2024-12-22,98337.0,84469.734
2024-12-23,96131.0,84730.914
2024-12-24,96572.0,84518.57
2024-12-25,96262.0,84761.4
2024-12-26,91554.0,84834.484
2024-12-27,88576.0,83730.96
2024-12-28,84071.0,81134.56
2024-12-29,84639.0,78118.97
2024-12-30,84321.0,75699.805
2024-12-31,86033.0,73629.5
2025-01-01,94273.0,73174.93
2025-01-02,86160.0,72977.34
2025-01-03,87240.0,72468.21
2025-01-04,90611.0,71798.805
2025-01-05,89918.0,72461.74
